classifier_name,mean_accuracy_score,mean_training_time,mean_testing_time,mean_model_size,training_time,t_training_start,t_training_end,testing_time,t_testing_start,t_testing_end,accuracy_score,precision_score,recall_score,f1_score,confusion_matrix,cross_validation_count,model_size
One Rule,,,,,0.0309829711914062,1611354429.1888912,1611354429.219874,0.051504373550415,1611354429.2198768,1611354429.2713811,0.4121612047851345,0.4121612047851345,0.4121612047851345,0.4121612047851345,"[[    0     0     0     0     0     0     0     0    50     0    63     0
      0     0     0   123     1     0     0]
 [    0     0     0     0     0     0     0     0     0     0     1     0
      0     0     0     1     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     2     0     0     0]
 [    0     0     0     0     0     0     0     0     2     0     1     0
      0     0     0     1     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     2     0     0     0]
 [    0     0     0     0     0     1     0     0    25     0    27     0
      1     0     1    83     1     0     0]
 [    0     0     0     0     0     0     0     0     0     0     2     0
      0     0     0     1     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     1     0
      0     0     0     1     0     0     0]
 [   61     0     0     1     0    26     0     0  2406     5  2082     7
     17     0    38  6179    25    18     0]
 [    0     0     0     0     0     0     0     0     6     0     4     0
      0     0     0    18     0     0     0]
 [   39     1     0     2     0    24     1     0  2091     3  1858     4
     19     1    30  5524    22    22     1]
 [    0     0     0     0     0     0     0     0     8     0     2     0
      0     0     0    17     0     0     0]
 [    0     0     0     0     0     0     0     0    28     0    18     0
      0     0     1    60     1     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     1     0     0     0]
 [    0     0     0     0     0     0     0     0    31     0    37     1
      0     0     0    96     0     1     0]
 [  120     0     0     4     0    66     2     0  5962    13  5445    15
     61     0    87 16097    53    45     2]
 [    0     0     0     0     0     0     0     0    26     0    18     0
      0     0     1    54     0     1     0]
 [    0     0     0     0     0     1     0     0    31     0    12     0
      0     0     1    57     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     1     0
      0     0     0     0     0     0     0]]",0.0,836.0
One Rule,,,,,0.0309517383575439,1611354429.5280817,1611354429.5590334,0.0763814449310302,1611354429.5590367,1611354429.6354182,0.4061576454394558,0.4061576454394558,0.4061576454394558,0.4061576454394558,"[[    1     0     0     0     0     0     0     0    50     0    41     0
      0     0     0     0   113     2     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     3     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     1     0     0     0]
 [    0     0     0     0     0     0     0     0     1     0     1     0
      0     0     0     0     5     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0]
 [    1     0     0     0     0     0     0     0    29     0    19     0
      0     1     0     0    69     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0]
 [   50     1     0     3     2    30     0     0  2288     9  2112     0
      6    24     0    38  6028    20    21     1]
 [    0     0     0     0     0     0     0     0     4     0     5     0
      0     1     0     0     8     0     0     0]
 [   33     0     1     0     0    24     0     0  2114     4  1949     0
      8    13     0    38  5570    13    19     0]
 [    0     0     0     0     0     0     0     0     1     0     0     0
      0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0    11     0     7     0
      0     0     0     0    14     1     0     0]
 [    1     0     0     0     0     0     0     0    18     0    17     0
      0     0     0     0    43     0     0     0]
 [    0     0     0     0     0     0     0     0     2     0     0     0
      0     0     0     0     3     0     0     0]
 [    0     0     0     0     0     3     1     0    24     0    34     0
      0     0     0     0    79     0     0     0]
 [  127     1     0     6     1    65     0     1  6215    13  5616     0
     20    60     0   110 15827    53    50     1]
 [    0     0     0     0     0     0     0     0    22     0    16     0
      0     0     0     0    66     0     0     0]
 [    0     0     0     0     0     0     0     0    21     0    28     0
      0     0     0     0    48     1     0     0]
 [    0     0     0     0     0     0     0     0     0     0     1     0
      0     0     0     0     0     0     0     0]]",1.0,836.0
One Rule,,,,,0.0184354782104492,1611354429.9063306,1611354429.924766,0.0460433959960937,1611354429.9247682,1611354429.9708116,0.4097809805271041,0.4097809805271041,0.4097809805271041,0.4097809805271042,"[[    1     0     0     0     1     0     0     0    45     0    47     0
      1     0     0     0   125     1     0     0]
 [    0     0     0     0     0     0     0     0     1     0     0     0
      0     0     0     0     1     0     0     0]
 [    0     0     0     0     0     0     0     0     4     0     0     0
      0     0     0     0     4     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0]
 [    1     0     1     0     0     0     0     0    23     0    23     0
      0     0     0     0    80     0     1     0]
 [    0     0     0     0     0     0     0     0     1     0     1     0
      0     0     0     0     3     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     1     0     0     0]
 [    0     0     0     0     0     0     0     0     1     0     1     0
      0     0     0     0     0     0     0     0]
 [   55     0     2     1    40     0     0     0  2302    11  2084     0
      2    19     0    29  6076    15    27     1]
 [    0     0     0     0     0     0     0     0     4     0     6     0
      0     0     0     0    12     0     0     0]
 [   34     0     0     0    22     0     0     0  2091     4  1940     0
      7    34     0    34  5478    22    12     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     1     0     0     0]
 [    0     0     0     0     0     0     0     0     7     0     7     0
      0     0     0     0     7     0     0     0]
 [    1     0     0     0     0     0     0     0    28     0    22     0
      0     0     0     0    74     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0]
 [    1     0     0     0     0     0     0     0    33     0    37     0
      0     0     0     2    88     0     0     0]
 [  146     2     3     0    70     0     1     1  6010    13  5595     0
     23    53     1    95 15999    48    71     2]
 [    1     0     0     0     0     0     0     0    19     0    28     0
      0     0     0     1    63     0     0     0]
 [    0     0     0     0     1     0     0     0    21     0    35     0
      0     0     0     0    58     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     1     0
      0     0     0     0     1     0     0     0]]",2.0,836.0
One Rule,,,,,0.0184230804443359,1611354430.153217,1611354430.1716402,0.0451030731201171,1611354430.1716423,1611354430.2167454,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,"[[    0     0     0     0     3     0     0     0    48     0    36     0
      0     0     0     1   132     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     1     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     1     0
      0     0     0     0     1     0     0     0]
 [    0     0     0     0     1     0     0     0    28     1    19     0
      0     0     0     0    76     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     1     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0]
 [   48     0     2     0    25     0     1     1  2329     3  1986     1
      6    19     0    29  6047    19    32     0]
 [    1     0     0     0     0     0     0     0     4     0     3     0
      0     0     0     0    16     0     0     0]
 [   47     0     1     1    23     0     0     0  2040     5  1926     0
      5    22     1    37  5626    20    22     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0]
 [    0     0     0     0     1     0     0     0     5     0     6     0
      0     1     0     0    22     0     0     0]
 [    0     0     0     0     0     0     0     0    17     0    22     0
      0     0     0     0    53     0     1     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     1     0     0     0]
 [    1     0     0     0     0     0     0     0    27     0    27     0
      0     0     0     0    85     1     0     0]
 [  124     2     2     1    63     3     1     1  6058    11  5627     1
     14    61     1    67 16086    47    64     0]
 [    0     0     0     0     0     0     0     0    17     0    18     0
      0     0     0     0    52     0     0     0]
 [    1     0     1     0     0     0     0     0    27     0    13     0
      0     0     0     2    69     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     1     0     0     0]]",3.0,836.0
One Rule,,,,,0.0185139179229736,1611354430.3987958,1611354430.4173098,0.0453400611877441,1611354430.417312,1611354430.4626522,0.4058944981984535,0.4058944981984535,0.4058944981984535,0.4058944981984535,"[[    1     0     0     0     0     0     0     0     0    51     0    54
      0     0     0     0     0   122     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     1     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     1     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     1     0     1
      0     0     0     0     0     6     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0    20     0    24
      0     1     0     0     1    72     0     1     1     0]
 [    0     0     0     0     0     0     0     0     0     0     0     1
      0     0     0     0     0     5     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0     0     0]
 [   51     0     0     2     0    29     0     1     0  2362     5  2072
      0     3    30     0    41  6171     0    34    24     0]
 [    0     0     0     0     0     0     0     0     0     3     0     3
      0     0     0     0     0    15     0     0     0     0]
 [   46     0     1     0     0    24     0     0     0  2125     7  1867
      0     6    20     0    29  5517     0    26    24     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     1     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     7     0     5
      0     0     0     0     0    10     0     0     0     0]
 [    2     0     0     0     0     0     0     0     0    30     0    21
      0     0     0     0     1    48     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     1     0     0
      0     0     0     0     0     0     0     0     0     0]
 [    1     0     0     0     0     0     0     0     0    45     0    31
      0     0     0     0     2    86     0     0     1     0]
 [  151     3     0     2     1    74     1     1     1  6083    13  5588
      0    17    56     4    74 15819     0    53    62     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     1     0     0     0     0]
 [    1     0     0     0     0     0     0     0     0    17     0    20
      0     0     0     0     0    65     0     1     0     0]
 [    0     0     0     0     0     0     0     0     0    27     0    18
      0     0     0     0     0    49     0     1     0     0]
 [    0     0     0     0     0     0     0     0     0     1     0     0
      0     0     0     0     0     4     0     0     0     0]]",4.0,836.0
One Rule,,,,,0.0184254646301269,1611354430.6442287,1611354430.6626542,0.0453753471374511,1611354430.6626563,1611354430.7080317,0.4084450022266305,0.4084450022266305,0.4084450022266305,0.4084450022266305,"[[    1     0     0     0     0     0     0     0     0    48     0    45
      0     0     0     0     0     0   118     1     0     0]
 [    0     0     0     0     0     0     0     0     0     2     0     2
      0     0     0     0     0     0     2     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0     0     0]
 [    1     0     0     0     0     0     0     0     0     0     0     1
      0     0     0     0     0     0     3     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     1
      0     0     0     0     0     0     1     0     0     0]
 [    0     0     0     0     0     0     0     0     0    32     0    19
      0     0     0     1     0     1    69     0     1     0]
 [    0     0     0     0     0     0     0     0     0     1     0     0
      0     0     0     0     0     0     2     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     1
      0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     1     0     0     0]
 [   47     1     0     0     0    18     0     0     0  2212     2  2099
      0     0     5    14     0    24  6238    22    27     0]
 [    1     0     0     0     0     0     0     0     0     5     0     2
      0     0     0     0     0     0    13     0     0     0]
 [   41     1     1     0     0    28     1     0     0  2087     9  1934
      0     0     8    33     0    31  5618    16    16     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     1     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     1     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     7     0     5
      0     0     0     0     0     0    12     0     0     0]
 [    0     0     0     0     0     1     0     0     0    21     0    24
      0     0     0     0     0     0    60     0     1     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     1     0     0     0]
 [    0     0     0     0     0     1     0     0     0    39     0    25
      0     0     0     1     0     0    78     1     1     0]
 [  140     0     0     3     0    72     3     1     0  6003    19  5468
      0     0     7    71     1    81 16031    47    60     1]
 [    0     0     0     0     0     1     0     0     0    28     0    21
      0     0     0     0     0     1    56     0     0     0]
 [    0     0     0     0     0     0     0     0     0    19     0    11
      0     0     0     1     0     0    65     0     0     0]
 [    0     0     0     0     0     0     0     0     0     1     0     1
      0     0     0     0     0     0     1     0     0     0]]",5.0,836.0
One Rule,,,,,0.0742814540863037,1611354430.8974226,1611354430.971704,0.0898017883300781,1611354430.9717228,1611354431.0615246,0.4132221367555969,0.4132221367555969,0.4132221367555969,0.4132221367555969,"[[    3     0     1     0     0     0     0     0     0    46     0    50
      0     0     1     0   113     2     1     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     2     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     1     0     0     0]
 [    0     0     0     0     0     0     0     0     0     1     0     4
      0     0     0     0     1     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     1     0     0     0]
 [    0     0     0     0     0     0     0     0     0    15     0    28
      0     0     0     1    59     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     1     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     1     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     2     0     0     0]
 [   33     0     0     3     0    23     1     0     0  2345     8  2099
      0     9    32    34  6149    18     8     0]
 [    0     0     0     0     0     0     0     0     0     5     0     5
      0     0     0     0    11     0     0     0]
 [   45     1     0     0     0    27     0     0     0  2049     5  1985
      0     4    18    31  5516    17    16     0]
 [    0     0     0     0     0     0     0     0     0     1     0     0
      0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     2     0     7
      0     0     0     0    20     0     1     0]
 [    1     0     0     0     0     0     0     0     0    24     0    23
      0     0     0     1    67     0     0     0]
 [    0     0     0     0     0     0     0     0     0    42     0    39
      0     0     1     1   106     0     2     0]
 [  118     1     0     3     0    72     1     1     0  6073    13  5432
      1    10    52    87 16080    48    57     0]
 [    1     0     0     0     0     0     0     0     0    23     0    11
      0     0     0     0    50     0     1     0]
 [    1     0     0     0     0     0     0     0     0    21     1    23
      0     0     0     0    49     0     0     0]
 [    0     0     0     0     0     0     0     0     0     1     0     0
      0     0     0     0     2     0     0     0]]",6.0,836.0
One Rule,,,,,0.0208797454833984,1611354431.448772,1611354431.4696517,0.0533034801483154,1611354431.469654,1611354431.5229576,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,"[[    0     0     0     0     0     0     0    33     0    60     0     0
      1     0     0   141     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     3     0     0
      0     0     0     3     0     0     0     0]
 [    0     0     0     0     0     0     0     1     0     0     0     0
      0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     1     0     2     0     0
      0     0     0     1     0     0     0     0]
 [    0     0     0     0     1     0     0    22     0    24     0     0
      1     0     0    85     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     1     0     0     0     0]
 [   43     1     0     2    29     0     0  2389     3  2083     0     4
     27     1    38  6070     0    23    26     2]
 [    0     0     0     0     0     0     0     1     0     6     0     0
      0     0     0    20     0     0     1     0]
 [   44     1     0     2    35     1     0  2133     2  1949     0     5
     16     0    27  5582     0    13    17     1]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     2     0     9     0     0
      0     0     0    13     0     0     0     0]
 [    1     0     0     0     0     0     0    27     0    16     0     0
      0     0     0    56     0     0     1     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0]
 [    1     0     0     0     1     0     0    28     0    33     0     0
      1     0     0    79     0     0     0     0]
 [  142     0     1     2    61     0     1  6030    10  5459     1    14
     60     0    80 16003     0    47    58     2]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     1     0     0     0     0]
 [    0     0     0     0     1     0     0    19     0    21     0     0
      0     0     0    49     0     0     0     0]
 [    1     0     0     0     0     0     0    19     0    21     0     0
      0     0     0    53     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     1     0     0
      0     0     0     0     0     0     0     0]]",7.0,836.0
One Rule,,,,,0.0207321643829345,1611354431.7271657,1611354431.7478976,0.0511782169342041,1611354431.7479,1611354431.7990782,0.4111169588275778,0.4111169588275778,0.4111169588275778,0.4111169588275778,"[[    1     0     0     0     2     0     0     0    54     0    49     0
      0     0     0     0   103     0     0     0     0]
 [    0     0     0     0     0     0     0     0     2     0     0     0
      0     0     0     0     1     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     1     0
      0     0     0     0     1     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     1     0     0     0     0]
 [    0     0     0     0     0     0     0     0    31     0    24     0
      0     2     0     0    79     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     2     0     0     0     0]
 [    0     0     0     0     0     0     0     0     1     0     1     0
      0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     1     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0     0]
 [   49     2     2     0    26     0     0     0  2325     3  2070     0
      7    33     0    37  6095     0    20    26     0]
 [    0     0     0     0     0     0     0     0     3     0     8     0
      0     0     0     0    14     0     0     0     0]
 [   52     1     0     0    17     1     1     1  2110     3  1871     0
      1    28     0    30  5502     0    25    20     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     1     0     0     0     0]
 [    0     0     0     0     0     0     0     0     1     0     9     0
      0     0     0     0    16     0     0     0     0]
 [    1     0     0     0     0     0     0     0    23     0    24     0
      0     0     0     0    51     0     0     0     0]
 [    0     0     0     0     0     0     0     0     1     0     0     0
      0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0    36     0    33     0
      0     1     0     1    97     0     0     0     0]
 [  136     1     2     0    77     3     0     1  6065    11  5445     0
     17    67     0    88 16110     1    66    61     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     1     0     0     0    19     0    18     0
      0     0     0     0    64     0     1     0     0]
 [    0     0     0     0     0     0     0     0    21     0    24     0
      0     0     0     0    66     0     0     1     0]
 [    0     0     0     0     0     0     0     0     0     0     2     0
      0     0     0     0     0     0     0     0     0]]",8.0,836.0
One Rule,,,,,0.0176913738250732,1611354431.9830005,1611354432.000692,0.0434367656707763,1611354432.0006945,1611354432.044131,0.4080199182219343,0.4080199182219343,0.4080199182219343,0.4080199182219343,"[[    0     0     0     0     0     0     0     0     0    48     0    43
      0     0     0     0     0   125     0     0     0]
 [    0     0     0     0     0     0     0     0     0     1     0     2
      0     0     0     0     0     2     0     0     0]
 [    0     0     0     0     0     0     0     0     0     1     0     0
      0     0     0     0     0     1     0     0     0]
 [    0     0     0     0     0     0     0     0     0     3     0     3
      0     0     0     0     0     2     0     0     0]
 [    0     0     0     0     0     0     0     0     0     1     0     2
      0     0     0     0     0     1     0     0     0]
 [    0     0     0     0     0     1     0     0     0    39     0    24
      0     0     0     0     0    54     2     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     1     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     1     0     0     0]
 [   45     0     0     2     0    30     1     0     0  2262     4  2138
      0     2    20     0    46  6160    25    23     1]
 [    0     0     0     0     0     0     0     0     0     4     0     3
      0     0     0     0     0    16     0     0     0]
 [   45     1     0     0     0    25     1     2     0  2110     3  1996
      0     7    17     0    25  5410    13    18     2]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0     0]
 [    1     0     0     0     0     2     0     0     0     3     0     5
      0     0     0     0     0    11     0     0     0]
 [    0     0     0     0     0     0     0     0     0    29     0    23
      0     0     0     0     0    58     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     2     0     0     0    33     0    32
      0     0     0     0     1    98     0     0     0]
 [  125     0     0     1     2    71     1     0     0  6102    10  5609
      1    15    61     2    90 15896    59    58     0]
 [    0     0     0     0     0     1     0     0     0    14     0    21
      0     0     0     0     1    48     1     0     0]
 [    0     0     0     0     0     0     0     0     0    16     0    17
      0     0     0     0     0    67     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     1     0     0     0]]",9.0,836.0
