classifier_name,mean_accuracy_score,mean_training_time,mean_testing_time,mean_model_size,training_time,t_training_start,t_training_end,testing_time,t_testing_start,t_testing_end,accuracy_score,precision_score,recall_score,f1_score,confusion_matrix,cross_validation_count,model_size
One Rule,,,,,0.0192890167236328,1611354172.4233725,1611354172.4426615,0.1737732887268066,1611354172.4426644,1611354172.6164377,0.4076964183781289,0.4076964183781289,0.4076964183781289,0.4076964183781289,"[[    4     0     0     0     0     3     0     0     0   164     1   151
      0     0     0     0     0     2   424     0     1     1     0]
 [    0     0     0     0     0     0     0     0     0     3     0     2
      0     0     0     0     0     0     2     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     3     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     6     0     2
      0     0     0     0     0     0    11     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     1     0     2
      0     0     0     0     0     0     0     0     0     0     0]
 [    2     0     0     0     0     1     0     0     0    96     0    59
      0     0     0     2     1     2   268     0     2     2     0]
 [    0     0     0     0     0     0     0     0     0     3     0     0
      0     0     0     0     0     0     5     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     1
      0     0     0     0     0     0     2     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     2     0     0     0     0]
 [  172     1     2     1     0    95     2     0     0  7634    13  7118
      1     1    17    86     1   122 20191     2    55    77     2]
 [    0     0     0     0     0     0     0     0     0    13     0    15
      0     0     0     0     0     0    46     0     0     0     0]
 [  158     5     0     4     0    73     2     0     0  7016    18  6293
      0     2    19    68     0   120 18428     0    67    71     3]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     1     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     1     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0    20     0    21
      0     0     0     0     0     0    50     0     0     0     0]
 [    2     0     0     1     0     1     0     0     0    75     0    76
      0     0     0     0     0     1   190     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     1     0     5
      0     0     0     0     0     0     1     0     0     0     0]
 [    3     0     0     0     0     4     0     0     0   108     0   122
      0     0     0     3     0     2   283     0     2     0     0]
 [  417     3     2     9     0   220     4     2     1 20506    38 18429
      0     0    56   202     2   288 53201     1   176   194     6]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0     0     0     0]
 [    2     0     0     0     0     1     0     0     0    68     0    70
      0     0     0     0     0     1   201     0     1     1     0]
 [    0     0     0     0     0     1     1     0     0    69     0    73
      0     0     0     2     0     3   198     0     1     1     0]
 [    0     0     0     0     0     0     0     0     0     0     0     2
      0     0     0     0     0     0     3     0     0     0     0]]",0.0,836.0
One Rule,,,,,0.0140047073364257,1611354173.108609,1611354173.1226137,0.1697874069213867,1611354173.122617,1611354173.2924044,0.4101254599997571,0.4101254599997571,0.4101254599997571,0.4101254599997571,"[[    4     0     0     0     0     1     0     0     0   171     0   144
      0     0     1     0     0     6   383     0     1     1     0]
 [    0     0     0     0     0     0     0     0     0     2     0     2
      0     0     0     0     0     0     2     0     1     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     1     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     3     0     3
      0     0     0     0     0     0    12     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     1     0     0
      0     0     0     0     0     0     1     0     0     1     0]
 [    4     0     0     0     1     2     0     0     0    71     0    70
      0     0     0     2     0     3   227     0     0     1     0]
 [    0     0     0     0     0     1     0     0     0     2     0     3
      0     0     0     0     0     0     5     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     1     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     2     0     0
      0     0     0     0     0     0     1     0     0     0     0]
 [  164     4     1     2     0    78     2     2     1  7806    19  7062
      0     1    19    91     1   114 20279     0    63    80     0]
 [    0     0     0     0     0     0     0     0     0    16     0    20
      0     0     0     0     0     0    38     0     0     0     0]
 [  130     3     0     1     0    74     0     0     0  6953    14  6370
      0     0    16    71     1   100 18688     0    58    52     4]
 [    0     0     0     0     0     0     0     0     0     0     0     1
      0     0     0     0     0     0     1     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     1     0     0
      0     0     0     0     0     0     1     0     0     0     0]
 [    0     0     0     0     0     1     0     0     0    24     0    24
      0     0     0     0     0     1    41     0     0     0     0]
 [    3     0     0     0     0     1     0     0     0    88     0    59
      0     0     0     1     0     2   197     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     2     0     0     0     0]
 [    4     0     0     0     0     0     0     0     0   116     0    90
      0     0     0     2     0     0   317     0     3     1     0]
 [  450     8     2     5     3   273     3     1     0 20135    47 18302
      1     0    41   196     4   279 53354     0   200   181     5]
 [    0     0     0     0     0     0     0     0     0     0     0     1
      0     0     0     0     0     0     0     0     0     0     0]
 [    1     0     0     0     0     2     0     0     0    65     0    70
      0     0     0     0     0     2   184     0     0     0     0]
 [    2     0     0     0     0     1     1     0     0    69     0    56
      0     0     0     1     0     1   203     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     4     0     0
      0     0     0     0     0     0     5     0     0     0     0]]",1.0,836.0
One Rule,,,,,0.0173418521881103,1611354173.7836611,1611354173.801003,0.1734864711761474,1611354173.8010056,1611354173.974492,0.4098911175481105,0.4098911175481105,0.4098911175481105,0.4098911175481105,"[[    4     0     0     1     0     4     0     0     0   166     1   137
      0     0     1     3     0     1   418     0     2     2     0]
 [    0     0     0     0     0     0     0     0     0     2     0     3
      0     0     0     0     0     0    11     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     2
      0     0     0     0     0     0     2     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     3     0     4
      0     0     0     0     0     0     9     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     1     0     0
      0     0     0     0     0     0     5     0     0     0     0]
 [    3     0     0     0     0     0     0     0     0    94     0    70
      0     0     0     0     0     1   261     0     2     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     2     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     1     0     1
      0     0     0     0     0     0     3     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     1
      0     0     0     0     0     0     1     0     0     0     0]
 [  155     0     0     7     0    73     4     1     0  7690    10  7081
      0     0    24    78     0   127 20428     0    66    73     2]
 [    0     0     0     0     0     0     0     0     0    18     0     9
      0     0     0     0     0     0    55     0     0     1     0]
 [  140     0     1     4     0   103     2     1     1  7048    14  6345
      1     0    21    74     1   109 18414     0    56    58     3]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     1     0     0     0     0]
 [    0     0     0     0     0     1     0     0     0    29     0     9
      0     0     0     0     0     0    43     0     0     0     0]
 [    2     0     0     0     0     1     0     0     1    71     0    67
      0     0     0     2     0     5   194     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     1
      0     0     0     0     0     0     0     0     0     0     0]
 [    4     0     0     0     0     2     0     0     0   113     0   116
      0     0     0     2     0     0   289     0     2     1     0]
 [  399     7     1    12     0   209     5     0     1 20079    49 18399
      0     1    46   196     1   312 53453     0   197   172     4]
 [    0     0     0     0     0     0     0     0     0     1     0     0
      0     0     0     0     0     0     0     0     0     0     0]
 [    2     0     0     0     0     2     0     0     0    66     0    58
      0     0     0     0     0     2   179     0     1     0     0]
 [    0     0     0     0     0     2     0     0     0    63     0    83
      0     0     0     0     0     0   186     0     0     3     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     6     0     0     0     0]]",2.0,836.0
Zero Rule,,,,,0.0208611488342285,1611354174.5104225,1611354174.5312836,0.0009126663208007,1611354174.5312865,1611354174.5321991,0.5693491382974847,0.5693491382974847,0.5693491382974847,0.5693491382974847,"[[    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0   751     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     7     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     3     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0    19     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     3     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0   435     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     8     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     3     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     2     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0 35593     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0    74     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0 32347     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     1     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     1     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0    91     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0   346     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     7     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0   527     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0 93757     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0   345     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0   349     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     5     0     0     0]]",0.0,839.0
Zero Rule,,,,,0.0140454769134521,1611354175.0085225,1611354175.0225675,0.0008440017700195,1611354175.0225706,1611354175.0234146,0.567727753015048,0.567727753015048,0.567727753015048,0.567727753015048,"[[    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0   712     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     7     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     1     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0    18     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     3     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0   381     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0    11     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     1     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     3     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0 35789     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0    74     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0 32535     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     2     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     2     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0    91     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0   351     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     2     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0   533     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0 93490     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     1     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0   324     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0   334     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     9     0     0     0     0]]",1.0,839.0
Zero Rule,,,,,0.0133914947509765,1611354175.4934323,1611354175.506824,0.0007963180541992,1611354175.5068262,1611354175.5076225,0.5680530505911716,0.5680530505911716,0.5680530505911716,0.5680530505911716,"[[    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0   740     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0    16     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     4     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0    16     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     6     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0   431     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     2     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     5     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     2     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0 35819     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0    83     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0 32396     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     1     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0    82     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0   343     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     1     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0   529     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0 93543     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     1     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0   310     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0   337     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     6     0     0     0     0]]",2.0,839.0
Naive Bayes ,,,,,0.2740993499755859,1611354176.002733,1611354176.2768323,1.5440495014190674,1611354176.276835,1611354177.8208845,0.9629328248539538,0.9629328248539538,0.9629328248539538,0.9629328248539538,"[[  733     0     0     0     0     0     0     0     0     0     0    16
      0     0     0     0     0     0     0     0     2     0]
 [    0     5     0     0     0     0     0     2     0     0     0     0
      0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     2     0     1     0     0     0     0
      0     0     0     0     0     0     0     0     0     0]
 [    0     0     0    16     0     0     0     2     0     0     0     1
      0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     2     0     0     0     1     0     0     0
      0     0     0     0     0     0     0     0     0     0]
 [    0     1     0     0     0   422     4     1     0     0     7     0
      0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     8     0     0     0     0     0
      0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     3     0     0     0     0
      0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0     0     2]
 [    0     0     0     0     0     0     5     0     0 35464    36     9
      0     0     0    16     0    63     0     0     0     0]
 [    0     0     0     0     0    33     0     0     0    20    21     0
      0     0     0     0     0     0     0     0     0     0]
 [    0   142    75     1    30  1583    54    45   116     1  2039 27217
      0     0   221     0    89     4     9     0   550   171]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     1     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     1     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     2     0     0     0     0
      0     0    89     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0   294    10     0
      0     0     0    41     0     0     0     0     1     0]
 [    0     0     1     0     0     1     1     0     1     0     0     0
      0     0     0     0     3     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0    91     5     5
      0     0     0     0     0   426     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0   114
      0     0     9     0     0     0 93634     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     1     2
      0     0     0     0     0     0     0   342     0     0]
 [    0     0   129     0     0     0     0    26     0     0    52     0
      0     0     3     0     0     0     0     0   138     1]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0     0     5]]",0.0,16251.0
Naive Bayes ,,,,,0.2798459529876709,1611354178.295713,1611354178.575559,1.5334842205047607,1611354178.5755663,1611354180.1090505,0.9347012886065804,0.9347012886065804,0.9347012886065804,0.9347012886065804,"[[  699     0     0     0     0     0     0     0     0     0     0    13
      0     0     0     0     0     0     0     0     0     0     0]
 [    0     4     1     0     0     0     0     2     0     0     0     0
      0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     1     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0    18     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     3     0     0     0     0     0     0
      0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0   381     0     0     0     0     0     0
      0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0    11     0     0     0     0     0     0
      0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     1     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0     0     0     0]
 [    0     1     0     0     0     0     0     0     0     0     0     0
      0     0     1     0     1     0     0     0     0     0     0]
 [    0     0     0     0     0    19     0     0     0 35758     3     0
      0     0     0     0     0     0     0     0     9     0     0]
 [    0     0     0     1     0    33     0     0     0    32     8     0
      0     0     0     0     0     0     0     0     0     0     0]
 [    0   241   220   203    15  2445     0   281     6   654  3975 23002
      0    10   191   333   212     0    11     0   577   154     5]
 [    0     0     0     0     0     0     0     1     0     0     0     0
      0     0     0     0     1     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     2     0     0     0     0     0     0     0     0     0]
 [    0     0     1     0     0     0     0     0     0     0     0     0
      0     0    90     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     2     0     0     0   315     2     3
      0     0     0    28     1     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     1     0     0
      0     0     0     0     1     0     0     0     0     0     0]
 [    0     0     0     0     0     2     0     0     0   100     0     0
      0     0     0     0     0   424     0     0     7     0     0]
 [    0     0     0     0     1     0     0     0     0     0     0    41
      0     0    29     0     0     0 93419     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     1     0     0     0     0     0     0]
 [    0     0     0     0     0     3     0     0     0   268     3     0
      0     0     0     0     0     0     0     0    50     0     0]
 [    0     0     0     0     0     1     0   171     0     0    23   101
      0     0     7     0     1     0     0     0     0    30     0]
 [    0     0     1     0     0     0     0     0     0     1     0     0
      0     0     0     0     0     0     0     0     0     0     7]]",1.0,16251.0
Naive Bayes ,,,,,0.2823486328125,1611354180.5905774,1611354180.872926,1.568241834640503,1611354180.872929,1611354182.441171,0.9352109939091412,0.9352109939091412,0.9352109939091412,0.9352109939091412,"[[  728     0     0     0     0     0     0     0     0     0     0    12
      0     0     0     0     0     0     0     0     0     0     0]
 [    0    10     0     0     0     0     0     5     0     0     0     1
      0     0     0     0     0     0     0     0     0     0     0]
 [    0     1     0     0     1     0     0     1     0     0     0     1
      0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0    15     0     0     0     1     0     0     0     0
      0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     4     0     0     1     0     0     0
      0     0     1     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0   431     0     0     0     0     0     0
      0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     2     0     0     0     0     0     0
      0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     5     0     0     0     0
      0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     1
      0     0     0     0     1     0     0     0     0     0     0]
 [    0     0     0     0     0    15     0     0     0 35799     3     0
      0     0     0     0     0     0     0     0     2     0     0]
 [    0     0     0     0     0    42     0     0     0    35     6     0
      0     0     0     0     0     0     0     0     0     0     0]
 [    0   167    89   115   304  2392     0   275    29   728  3909 22939
     40     7   136   352   148     0    14     0   614   138     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     1     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     2     0     0     0     0     0     0     0
      0     0    80     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     2     0     0     0   307     2     3
      0     0     0    28     0     0     0     0     1     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     1     0     0     0     0     0     0]
 [    0     0     0     0     0     2     0     0     0    93     2     0
      0     0     0     0     0   426     0     0     6     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0    69
      0     0    10     0     0     0 93464     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0     0     0     1     0     0     0     0     0     0]
 [    0     0     0     0     0     5     0     0     0   260     5     0
      0     0     0     0     0     0     0     0    40     0     0]
 [    0     2     0     0    21     4     0    53     0     0   138    83
      0     0     0     2     7     0     0     0     0    27     0]
 [    0     0     1     0     0     0     0     0     0     0     0     0
      0     0     0     0     1     0     0     0     0     0     4]]",2.0,16251.0
AdaBoost,,,,,30.783156633377075,1611354182.9564352,1611354213.7395918,5.121047019958496,1611354213.739596,1611354218.860643,0.7853516645007712,0.7853516645007712,0.7853516645007712,0.7853516645007712,"[[    0     0     0     0     0     0     0     0     0   751     0     0
      0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     7     0     0
      0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     3     0     0
      0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0    19     0     0
      0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     3     0     0
      0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0   435     0     0
      0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     8     0     0     0     0     0
      0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     3     0     0
      0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     2     0     0
      0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0 35593     0     0
      0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0    74     0     0
      0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     1     0     0 32333     0     0
      0     0     0     0     0     0    13     0     0     0]
 [    0     0     0     0     0     0     0     0     0     1     0     0
      0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     1     0     0
      0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     2     0     0
      0     0    89     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0   346     0     0
      0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     7     0     0
      0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0   527     0     0
      0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0   120     0     0
      0     0     0     0     0     0 93637     0     0     0]
 [    0     0     0     0     0     0     0     0     0     0     0     0
      0     0   345     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0   349     0     0
      0     0     0     0     0     0     0     0     0     0]
 [    0     0     0     0     0     0     0     0     0     5     0     0
      0     0     0     0     0     0     0     0     0     0]]",0.0,63810.0
